"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","4917","Check all options are displayed and clickable for Menu button","","Wed May 07 15:28:25 GMT 2025","passed","Wed May 07 15:28:30 GMT 2025","","Frontend Menu Functionality","Check all options are displayed and clickable for Menu button",""
"  As a Student
  I want to be able to login to the G.E.M. Class Recruiting website
  So that I can access my account","6037","Forgot password link","","Wed May 07 15:28:17 GMT 2025","passed","Wed May 07 15:28:23 GMT 2025","","Login Functionality","Forgot password link",""
"  As a Student
  I want to be able to login to the G.E.M. Class Recruiting website
  So that I can access my account","1350","Validation empty login or password fields","","Wed May 07 15:28:15 GMT 2025","passed","Wed May 07 15:28:17 GMT 2025","","Login Functionality","Validation empty login or password fields",""
"  As a Student
  I want to be able to login to the G.E.M. Class Recruiting website
  So that I can access my account","9496","Successful login with valid credentials","","Wed May 07 15:27:59 GMT 2025","passed","Wed May 07 15:28:08 GMT 2025","","Login Functionality","Successful login with valid credentials",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","3786","Check Background button","","Wed May 07 15:28:36 GMT 2025","passed","Wed May 07 15:28:40 GMT 2025","","Frontend Menu Functionality","Check Background button",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","4687","Check Study Guide button","","Wed May 07 15:29:37 GMT 2025","passed","Wed May 07 15:29:41 GMT 2025","","Frontend Menu Functionality","Check Study Guide button",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","6485","Check Guidelines button","","Wed May 07 15:29:09 GMT 2025","passed","Wed May 07 15:29:16 GMT 2025","","Frontend Menu Functionality","Check Guidelines button",""
"  As a Student
  I want to be able to login to the G.E.M. Class Recruiting website
  So that I can access my account","1431","Validation empty login or password fields","","Wed May 07 15:28:14 GMT 2025","passed","Wed May 07 15:28:15 GMT 2025","","Login Functionality","Validation empty login or password fields",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","4091","Check Gameplan button","","Wed May 07 15:29:05 GMT 2025","passed","Wed May 07 15:29:09 GMT 2025","","Frontend Menu Functionality","Check Gameplan button",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","4233","Check Grades button","","Wed May 07 15:29:01 GMT 2025","passed","Wed May 07 15:29:05 GMT 2025","","Frontend Menu Functionality","Check Grades button",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","5084","Check Scholarships button","","Wed May 07 15:28:56 GMT 2025","passed","Wed May 07 15:29:01 GMT 2025","","Frontend Menu Functionality","Check Scholarships button",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","4447","Check Contact Us button","","Wed May 07 15:28:48 GMT 2025","passed","Wed May 07 15:28:52 GMT 2025","","Frontend Menu Functionality","Check Contact Us button",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","5130","Check Coach Directory button","","Wed May 07 15:29:32 GMT 2025","passed","Wed May 07 15:29:37 GMT 2025","","Frontend Menu Functionality","Check Coach Directory button",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","5009","Check Get Verified button","","Wed May 07 15:30:04 GMT 2025","passed","Wed May 07 15:30:09 GMT 2025","","Frontend Menu Functionality","Check Get Verified button",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","7100","Check Settings button","","Wed May 07 15:29:53 GMT 2025","passed","Wed May 07 15:30:00 GMT 2025","","Frontend Menu Functionality","Check Settings button",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","3591","Check Login button","","Wed May 07 15:30:00 GMT 2025","passed","Wed May 07 15:30:04 GMT 2025","","Frontend Menu Functionality","Check Login button",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","4579","Check My Profile button","","Wed May 07 15:29:27 GMT 2025","passed","Wed May 07 15:29:32 GMT 2025","","Frontend Menu Functionality","Check My Profile button",""
