"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","223","Check Login button","","Wed May 07 12:52:29 GMT 2025","broken","Wed May 07 12:52:29 GMT 2025","","Frontend Menu Functionality","Check Login button",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","228","Check Home button","","Wed May 07 12:52:24 GMT 2025","broken","Wed May 07 12:52:24 GMT 2025","","Frontend Menu Functionality","Check Home button",""
"  As a Student
  I want to be able to login to the G.E.M. Class Recruiting website
  So that I can access my account","715","Successful login with valid credentials","","Wed May 07 12:52:22 GMT 2025","broken","Wed May 07 12:52:22 GMT 2025","","Login Functionality","Successful login with valid credentials",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","233","Check Background button","","Wed May 07 12:52:25 GMT 2025","broken","Wed May 07 12:52:25 GMT 2025","","Frontend Menu Functionality","Check Background button",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","226","Check Guidelines button","","Wed May 07 12:52:27 GMT 2025","broken","Wed May 07 12:52:27 GMT 2025","","Frontend Menu Functionality","Check Guidelines button",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","228","Check Get Verified button","","Wed May 07 12:52:29 GMT 2025","broken","Wed May 07 12:52:29 GMT 2025","","Frontend Menu Functionality","Check Get Verified button",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","224","Check Grades button","","Wed May 07 12:52:26 GMT 2025","broken","Wed May 07 12:52:26 GMT 2025","","Frontend Menu Functionality","Check Grades button",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","222","Check Settings button","","Wed May 07 12:52:28 GMT 2025","broken","Wed May 07 12:52:29 GMT 2025","","Frontend Menu Functionality","Check Settings button",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","222","Check My Profile button","","Wed May 07 12:52:27 GMT 2025","broken","Wed May 07 12:52:27 GMT 2025","","Frontend Menu Functionality","Check My Profile button",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","222","Check Player Directory button","","Wed May 07 12:52:27 GMT 2025","broken","Wed May 07 12:52:27 GMT 2025","","Frontend Menu Functionality","Check Player Directory button",""
"  As a Student
  I want to be able to login to the G.E.M. Class Recruiting website
  So that I can access my account","234","Unsuccessful login with invalid credentials","","Wed May 07 12:52:23 GMT 2025","broken","Wed May 07 12:52:23 GMT 2025","","Login Functionality","Unsuccessful login with invalid credentials",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","220","Check Calendar button","","Wed May 07 12:52:27 GMT 2025","broken","Wed May 07 12:52:27 GMT 2025","","Frontend Menu Functionality","Check Calendar button",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","226","Check Contact Us button","","Wed May 07 12:52:25 GMT 2025","broken","Wed May 07 12:52:26 GMT 2025","","Frontend Menu Functionality","Check Contact Us button",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","226","Check Our Team button","","Wed May 07 12:52:26 GMT 2025","broken","Wed May 07 12:52:26 GMT 2025","","Frontend Menu Functionality","Check Our Team button",""
"  As a Student
  I want to be able to login to the G.E.M. Class Recruiting website
  So that I can access my account","224","Validation empty login or password fields","","Wed May 07 12:52:23 GMT 2025","broken","Wed May 07 12:52:23 GMT 2025","","Login Functionality","Validation empty login or password fields",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","227","Check Testimonials button","","Wed May 07 12:52:25 GMT 2025","broken","Wed May 07 12:52:25 GMT 2025","","Frontend Menu Functionality","Check Testimonials button",""
"  As a Student
  I want to be able to login to the G.E.M. Class Recruiting website
  So that I can access my account","242","Unsuccessful login with invalid credentials","","Wed May 07 12:52:22 GMT 2025","broken","Wed May 07 12:52:23 GMT 2025","","Login Functionality","Unsuccessful login with invalid credentials",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","227","Check Coach Directory button","","Wed May 07 12:52:27 GMT 2025","broken","Wed May 07 12:52:28 GMT 2025","","Frontend Menu Functionality","Check Coach Directory button",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","282","Check Scholarships button","","Wed May 07 12:52:26 GMT 2025","broken","Wed May 07 12:52:26 GMT 2025","","Frontend Menu Functionality","Check Scholarships button",""
